From,To,Term,Result,Score
Chemical Name,InChIKey,"O-Succinyl-L-homoserine",GNISQJGXJIDKDJ-YFKPBYRVSA-N,1
Chemical Name,InChIKey,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",LYCAIKOWRPUZTN-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Phosphatidylglycerophosphate (dioctadecanoyl, n-C18:0)",UZNYMWWMHBZMLI-IOLBBIBUSA-K,1
Chemical Name,InChIKey,"Pyridoxal",RADKZDMFGJYCBB-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Cyanate",XLJMAIOERFSOGZ-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"UDP-D-glucuronate",HDYANYHVCAPMJV-LXQIFKJMSA-N,1
Chemical Name,InChIKey,"Guanosine 3  phosphate C10H12N5O8P",UYTPUPDQBNUYGX-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Trans-Dec-2-enoyl-[acyl-carrier protein]",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"1D-myo-Inositol 1-phosphate",INAPMGSXUVUWAF-GCVPSNMTSA-N,0
Chemical Name,InChIKey,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)",IACXMECMZISNLR-DLBZAZTESA-M,1
Chemical Name,InChIKey,"Sedoheptulose 7-phosphate",JDTUMPKOJBQPKX-GBNDHIKLSA-N,1
Chemical Name,InChIKey,"(S)-3-Hydroxydecanoyl-CoA",HIVSMYZAMUNFKZ-PNPVFPMQSA-N,1
Chemical Name,InChIKey,"Periplasmic protein disulfide isomerase I (oxidized)",AGPKZVBTJJNPAG-WHFBIAKZSA-N,1
Chemical Name,InChIKey,"L-Ascorbate",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,1
Chemical Name,InChIKey,"Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)",DCXYFEDJOCDNAF-REOHCLBHSA-N,1
Chemical Name,InChIKey,"L-Fucose",SHZGCJCMOBCMKK-DHVFOXMCSA-N,1
Chemical Name,InChIKey,"Dihydroneopterin",YQIFAMYNGGOTFB-XINAWCOVSA-N,1
Chemical Name,InChIKey,"D-Mannonate",RGHNJXZEOKUKBD-MBMOQRBOSA-N,1
Chemical Name,InChIKey,"Silver",BQCADISMDOOEFD-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Acyl phosphatidylglycerol (n-C14:1)",FVJZSBGHRPJMMA-DHPKCYQYSA-N,0
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"3  CMP C9H12N3O8P",IERHLVCPSMICTF-XVFCMESISA-N,1
Chemical Name,InChIKey,"(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]",XLYOFNOQVPJJNP-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"Nitric oxide",MWUXSHHQAYIFBG-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Pyruvate",LCTONWCANYUPML-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"D-Xylulose 5-phosphate",FNZLKVNUWIIPSJ-RFZPGFLSSA-N,1
Chemical Name,InChIKey,"Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)",MEAZTWJVOWHKJM-CIAPRIGGSA-N,1
Chemical Name,InChIKey,"4-Phospho-D-erythronate",ZCZXOHUILRHRQJ-PWNYCUMCSA-N,1
Chemical Name,InChIKey,"Hydrogen peroxide",MHAJPDPJQMAIIY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"5-Methyltetrahydrofolate",ZNOVTXRBGFNYRX-STQMWFEESA-N,1
Chemical Name,InChIKey,"Sulfur",NINIDFKCEFEMDL-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"TRNA Asn  C10H17O10PR2",CKLJMWTZIZZHCS-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Enterochelin",SERBHKJMVBATSJ-BZSNNMDCSA-N,1
Chemical Name,InChIKey,"GDP-D-mannose",MVMSCBBUIHUTGJ-GDJBGNAASA-N,1
Chemical Name,InChIKey,"2-Octaprenylphenol",VUNQJPPPTJIREN-CMAXTTDKSA-N,1
Chemical Name,InChIKey,"Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala), one uncrosslinked tetrapaptide) (middle of chain)",CKLJMWTZIZZHCS-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Crotonobetainyl-CoA",WAUPBDVHJXXZGW-HXPULJKESA-O,0
Chemical Name,InChIKey,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)",YVYMBNSKXOXSKW-HXUWFJFHSA-N,1
Chemical Name,InChIKey,"Indole",SIKJAQJRHWYJAI-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"L-Histidinol phosphate",CWNDERHTHMWBSI-YFKPBYRVSA-N,1
Chemical Name,InChIKey,"Betaine aldehyde",SXKNCCSPZDCRFD-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",PNWZQTONLRRPST-KLDRQJOASA-N,1
Chemical Name,InChIKey,"(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]",NECRQCBKTGZNMH-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"L-Alanine",QNAYBMKLOCPYGJ-REOHCLBHSA-N,1
Chemical Name,InChIKey,"3,4-Dihydroxyphenylacetaldehyde",IADQVXRMSNIUEL-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"4-Aminobenzoate",ALYNCZNDIQEVRV-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"UDPglucose",HSCJRCZFDFQWRP-JZMIEXBBSA-N,1
Chemical Name,InChIKey,"Dodecanoyl-ACP (n-C12:0ACP)",GFFGJBXGBJISGV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole",ZMRGXEJKZPRBPJ-SYQHCUMBSA-N,1
Chemical Name,InChIKey,"Adenosine",OIRDTQYFTABQOQ-KQYNXXCUSA-N,1
Chemical Name,InChIKey,"DTTP C10H13N2O14P3",NHVNXKFIZYSCEB-XLPZGREQSA-N,1
Chemical Name,InChIKey,"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide",CKLJMWTZIZZHCS-REOHCLBHSA-N,1
Chemical Name,InChIKey,"IMP C10H11N4O8P",ZSKVGTPCRGIANV-ZXFLCMHBSA-N,1
Chemical Name,InChIKey,"D-Sorbitol",FBPFZTCFMRRESA-JGWLITMVSA-N,1
Chemical Name,InChIKey,"Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)",DAUAQNGYDSHRET-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA",MVYTXVAKEAWEGM-WMKPBWIYSA-D,1
Chemical Name,InChIKey,"Octadecanoate (n-C18:0)",QIQXTHQIDYTFRH-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"Generic ferrioxamine-Fe-III",XEEYBQQBJWHFJM-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"3-Phospho-D-glyceroyl phosphate",LJQLQCAXBUHEAZ-UWTATZPHSA-N,1
Chemical Name,InChIKey,"N-Acetyl-D-glucosamine 1-phosphate",FZLJPEPAYPUMMR-RTRLPJTCSA-N,1
Chemical Name,InChIKey,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala",DHMQDGOQFOQNFH-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"5-Amino-4-oxopentanoate",ZGXJTSGNIOSYLO-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"L-Arabinose",SRBFZHDQGSBBOR-HWQSCIPKSA-N,1
Chemical Name,InChIKey,"Glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A",DJHBKVISRABJNG-HEIPHTFDSA-C,1
Chemical Name,InChIKey,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate",QUHLBZKCGUXHGP-BHBBPGSKSA-N,0
Chemical Name,InChIKey,"L-ascorbate-6-phosphate",KIENGQUGHPTFGC-DOAHDZERSA-N,1
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)",DDUZNLUWXLYPCP-GOSISDBHSA-N,1
Chemical Name,InChIKey,"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate",XFVULMDJZXYMSG-ZIYNGMLESA-N,1
Chemical Name,InChIKey,"3-Methyl-2-oxobutanoate",QHKABHOOEWYVLI-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Methylisocitrate",HHKPKXCSHMJWCF-WVBDSBKLSA-N,1
Chemical Name,InChIKey,"DIDP; 2'-deoxyinosine-5'-diphosphate(3-)",BKUSIKGSPSFQAC-RRKCRQDMSA-N,1
Chemical Name,InChIKey,"D-Alanine",QNAYBMKLOCPYGJ-UWTATZPHSA-N,1
Chemical Name,InChIKey,"Acetyl phosphate",LIPOUNRJVLNBCD-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"L-Allo-threonine",AYFVYJQAPQTCCC-HRFVKAFMSA-N,1
Chemical Name,InChIKey,"Crotonobetaine",GUYHPGUANSLONG-SNAWJCMRSA-N,1
Chemical Name,InChIKey,"Inosine",UGQMRVRMYYASKQ-KQYNXXCUSA-N,1
Chemical Name,InChIKey,"N-Acetylmuramate",MNLRQHMNZILYPY-MKFCKLDKSA-N,1
Chemical Name,InChIKey,"N-Succinyl-2-L-amino-6-oxoheptanedioate",SDVXSCSNVVZWDD-LURJTMIESA-N,1
Chemical Name,InChIKey,"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose",PSONHUYFSWYIME-JNYPHZTQSA-N,1
Chemical Name,InChIKey,"Ethanol",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Succinyl-CoA",VNOYUJKHFWYWIR-ITIYDSSPSA-N,1
Chemical Name,InChIKey,"Ferrichrome minus Fe(III)",ZZDYFKJSJLUQON-UFYCRDLUSA-N,1
Chemical Name,InChIKey,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",PEDCQBHIVMGVHV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"L-Isoleucine",AGPKZVBTJJNPAG-WHFBIAKZSA-N,1
Chemical Name,InChIKey,"Butyryl-ACP (n-C4:0ACP)",GFFGJBXGBJISGV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Carbamoyl phosphate",FFQKYPRQEYGKAF-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]",IMRWILPUOVGIMU-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"2-Methylcitrate",YNOXCRMFGMSKIJ-WVBDSBKLSA-N,1
Chemical Name,InChIKey,"2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol",HTJXTKBIUVFUAR-XHIBXCGHSA-N,1
Chemical Name,InChIKey,"Sarcosine C3H7NO2",FSYKKLYZXJSNPZ-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide",BLKFNHOCHNCLII-GHVQHMAVSA-N,1
Chemical Name,InChIKey,"2-Oxoglutarate",KPGXRSRHYNQIFN-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"D-4'-Phosphopantothenate",XHFVGHPGDLDEQO-ZETCQYMHSA-N,1
Chemical Name,InChIKey,"Phosphatidylserine (dihexadecanoyl, n-C16:0)",KLFKZIQAIPDJCW-GPOMZPHUSA-M,1
Chemical Name,InChIKey,"4-Hydroxy-benzyl alcohol",BVJSUAQZOZWCKN-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Cu+",VMQMZMRVKUZKQL-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Dopamine",VYFYYTLLBUKUHU-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"N-(5-Phospho-D-ribosyl)anthranilate",PMFMJXPRNJUYMB-GWOFURMSSA-N,1
Chemical Name,InChIKey,"N8-Acetylspermidine",FONIWJIDLJEJTL-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"6,7-Dimethyl-8-(1-D-ribityl)lumazine",SXDXRJZUAJBNFL-XKSSXDPKSA-N,1
Chemical Name,InChIKey,"Oxaloacetate",KHPXUQMNIQBQEV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Aminoacetaldehyde",LYIIBVSRGJSHAV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Protein disulfide isomerase II (reduced)",LWVRJZXYUQBNHW-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Nicotinamide adenine dinucleotide phosphate",XJLXINKUBYWONI-NNYOXOHSSA-O,1
Chemical Name,InChIKey,"Crotonoyl-CoA",KFWWCMJSYSSPSK-PAXLJYGASA-N,1
Chemical Name,InChIKey,"(R)-Pantoate",OTOIIPJYVQJATP-BYPYZUCNSA-M,1
Chemical Name,InChIKey,"D-Allose 6-phosphate",VFRROHXSMXFLSN-BGPJRJDNSA-N,0
Chemical Name,InChIKey,"L-Prolinylglycine",XASIIFOIMAXKBF-LURJTMIESA-N,1
Chemical Name,InChIKey,"L-Glutamate 5-phosphate",PJRXVIJAERNUIP-VKHMYHEASA-N,1
Chemical Name,InChIKey,"Thiamin",JZRWCGZRTZMZEH-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Quinolinate",GJAWHXHKYYXBSV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"N-Acetyl-D-galactosamine",OVRNDRQMDRJTHS-KEWYIRBNSA-N,1
Chemical Name,InChIKey,"Spermidine",ATHGHQPFGPMSJY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"3-Deoxy-D-manno-octulosonate 8-phosphate",RTNBXJBOAIDPME-SHUUEZRQSA-N,1
Chemical Name,InChIKey,"Adenosine 3',5'-bisphosphate",WHTCPDAXWFLDIH-KQYNXXCUSA-N,1
Chemical Name,InChIKey,"Fructoselysine",BFSYFTQDGRDJNV-AYHFEMFVSA-N,0
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)",KIHAGWUUUHJRMS-JOCHJYFZSA-N,1
Chemical Name,InChIKey,"Cyclopropane phosphatidylethanolamine (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"L-Carnitine",PHIQHXFUZVPYII-ZCFIWIBFSA-N,1
Chemical Name,InChIKey,"N-Acetyl-D-mannosamine",OVRNDRQMDRJTHS-ZTVVOAFPSA-N,1
Chemical Name,InChIKey,"Glutathionylspermidine",NEDQLXHBVHSKNV-STQMWFEESA-N,1
Chemical Name,InChIKey,"O2 O2",MHAJPDPJQMAIIY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"3-Oxooctadecanoyl-CoA",LGOGWHDPDVAUNY-LFZQUHGESA-N,1
Chemical Name,InChIKey,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate",SFRQRNJMIIUYDI-UHNVWZDZSA-N,1
Chemical Name,InChIKey,"KDO(2)-lipid IV(A)",XAOLJGCZESYRFT-VHSKNIDJSA-N,1
Chemical Name,InChIKey,"5'-deoxyribose",WDRISBUVHBMJEF-MROZADKFSA-N,1
Chemical Name,InChIKey,"5-Dehydro-4-deoxy-D-glucarate",QUURPCHWPQNNGL-ZAFYKAAXSA-L,1
Chemical Name,InChIKey,"(S)-2-Aceto-2-hydroxybutanoate",VUQLHQFKACOHNZ-LURJTMIESA-N,1
Chemical Name,InChIKey,"N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide",VDXLUNDMVKSKHO-XVFCMESISA-N,1
Chemical Name,InChIKey,"(R)-2,3-Dihydroxy-3-methylpentanoate",PDGXJDXVGMHUIR-UJURSFKZSA-N,1
Chemical Name,InChIKey,"Tungstate",PBYZMCDFOULPGH-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]",GYCPLYCTMDTEPU-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"ADP-D-glycero-D-manno-heptose",KMSFWBYFWSKGGR-RQWOTHMISA-N,0
Chemical Name,InChIKey,"(S)-3-Hydroxytetradecanoyl-CoA",OXBHKMHNDGRDCZ-STLSENOWSA-N,1
Chemical Name,InChIKey,"Allulose 6-phosphate",BGWGXPAPYGQALX-JDJSBBGDSA-N,1
Chemical Name,InChIKey,"2,3-Dioxo-L-gulonate",GJQWCDSAOUMKSE-STHAYSLISA-M,1
Chemical Name,InChIKey,"Hepta-acylated KDO(2)-lipid (A)",FRCCEHPWNOQAEU-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"L-Idonate",RGHNJXZEOKUKBD-SKNVOMKLSA-N,1
Chemical Name,InChIKey,"Nitrous oxide",GQPLMRYTRLFLPF-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"D-Fructose 1,6-bisphosphate",RNBGYGVWRKECFJ-ZXXMMSQZSA-N,0
Chemical Name,InChIKey,"Nickel",PXHVJJICTQNCMI-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Octanoyl-ACP (n-C8:0ACP)",GFFGJBXGBJISGV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Two disacharide linked murein units, pentapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",CKLJMWTZIZZHCS-REOHCLBHSA-N,1
Chemical Name,InChIKey,"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate",RFENOVFRMPRRJI-AFCKVHGPSA-N,1
Chemical Name,InChIKey,"3-Oxooctanoyl-CoA",WPIVBCGRGVNDDT-CECATXLMSA-N,1
Chemical Name,InChIKey,"2-Deoxy-D-ribose 5-phosphate",KKZFLSZAWCYPOC-PYHARJCCSA-N,1
Chemical Name,InChIKey,"Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)",CKLJMWTZIZZHCS-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Acyl phosphatidylglycerol (n-C16:0)",BSAFHIMUDGXOPA-OKPYTHRESA-M,1
Chemical Name,InChIKey,"CAMP C10H11N5O6P",IVOMOUWHDPKRLL-KQYNXXCUSA-N,1
Chemical Name,InChIKey,"Nicotinamide adenine dinucleotide - reduced",DFPAKSUCGFBDDF-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"(S)-3-Hydroxybutanoyl-CoA",QHHKKMYHDBRONY-VKBDFPRVSA-N,1
Chemical Name,InChIKey,"Adenosyl cobinamide",BSHFIIHLAMICFC-VUCSARQQSA-M,0
Chemical Name,InChIKey,"Trans-3-cis-11-vacceoyl-[acyl-carrier protein]",GYCPLYCTMDTEPU-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",CKLJMWTZIZZHCS-REOHCLBHSA-N,1
Chemical Name,InChIKey,"(S)-3-Hydroxyhexanoyl-CoA",VAAHKRMGOFIORX-IKTBLOROSA-N,1
Chemical Name,InChIKey,"Acetate",QTBSBXVTEAMEQO-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"D-Erythrose 4-phosphate",NGHMDNPXVRFFGS-IUYQGCFVSA-N,1
Chemical Name,InChIKey,"Nicotinate D-ribonucleotide",JOUIQRNQJGXQDC-ZYUZMQFOSA-O,1
Chemical Name,InChIKey,"2,3-Dihydro-2,3-dihydroxybenzoate",INCSWYKICIYAHB-WDSKDSINSA-N,1
Chemical Name,InChIKey,"2-Phosphoglycolate",ASCFNMCAHFUBCO-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",PGPMCWZMPPZJML-NAFNZUQFSA-N,1
Chemical Name,InChIKey,"Sulfur dioxide",RAHZWNYVWXNFOC-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Dihydroneopterin monophosphate",YQIFAMYNGGOTFB-XINAWCOVSA-N,1
Chemical Name,InChIKey,"DUMP C9H11N2O8P",JSRLJPSBLDHEIO-SHYZEUOFSA-N,1
Chemical Name,InChIKey,"Citrate",KRKNYBCHXYNGOX-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Calcium",OYPRJOBELJOOCE-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Uracil",ISAKRJDGNUQOIC-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"GDP-L-fucose",LQEBEXMHBLQMDB-QIXZNPMTSA-N,1
Chemical Name,InChIKey,"L-Glutamine",ZDXPYRJPNDTMRX-VKHMYHEASA-N,1
Chemical Name,InChIKey,"Palmitoyl-CoA (n-C16:0CoA)",MNBKLUUYKPBKDU-BBECNAHFSA-J,1
Chemical Name,InChIKey,"Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)",FTCITDHJQWUTEF-GGTDZKDPSA-N,0
Chemical Name,InChIKey,"Oxidized glutathione",YPZRWBKMTBYPTK-BJDJZHNGSA-N,1
Chemical Name,InChIKey,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)",RPXHXZNGZBHSMJ-GOSISDBHSA-N,1
Chemical Name,InChIKey,"Stearoyl-CoA (n-C18:0CoA)",SIARJEKBADXQJG-LFZQUHGESA-J,1
Chemical Name,InChIKey,"Sucrose C12H22O11",CZMRCDWAGMRECN-UGDNZRGBSA-N,1
Chemical Name,InChIKey,"L-fuculose",QZNPNKJXABGCRC-LFRDXLMFSA-N,1
Chemical Name,InChIKey,"Hydrogen sulfide",RWSOTUBLDIXVET-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"S-Adenosylmethioninamine",ZUNBITIXDCPNSD-LSRJEVITSA-N,1
Chemical Name,InChIKey,"Cadmium",BDOSMKKIYDKNTQ-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Beta D-Galactose",WQZGKKKJIJFFOK-FPRJBGLDSA-N,1
Chemical Name,InChIKey,"CDP-1,2-ditetradecanoylglycerol",ICFWXMWHAMIZGF-WNAWUNHNSA-N,0
Chemical Name,InChIKey,"Nitrate",NHNBFGGVMKEFGY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"UDP-N-acetylmuramoyl-L-alanine",NTMMCWJNQNKACG-KBKUWGQMSA-N,1
Chemical Name,InChIKey,"Hexanoate (n-C6:0)",FUZZWVXGSFPDMH-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"Glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate",QZKSQRMITRSRFM-QUNHHUOXSA-L,1
Chemical Name,InChIKey,"4-Methyl-5-(2-phosphoethyl)-thiazole",OCYMERZCMYJQQO-UHFFFAOYSA-N,1
