From,To,Term,Result,Score
Chemical Name,InChIKey,"DUTP C9H11N2O14P3",AHCYMLUZIRLXAA-SHYZEUOFSA-N,1
Chemical Name,InChIKey,"1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide",QOUSHGMTBIIAHR-KEOHHSTQSA-N,1
Chemical Name,InChIKey,"3-Dehydroquinate",WVMWZWGZRAXUBK-SYTVJDICSA-N,1
Chemical Name,InChIKey,"3-(3-hydroxy-phenyl)propionate",QVWAEZJXDYOKEH-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",OCLCLRXKNJCOJD-UMMCILCDSA-L,1
Chemical Name,InChIKey,"Inner core oligosaccharide lipid A (E coli)",YKVGZDADLKRSPK-YRCDCJNSSA-C,1
Chemical Name,InChIKey,"L-Tyrosine",OUYCCCASQSFEME-QMMMGPOBSA-N,1
Chemical Name,InChIKey,"Trehalose",HDTRYLNUVZCQOY-LIZSDCNHSA-N,1
Chemical Name,InChIKey,"Dihydroxyacetone",RXKJFZQQPQGTFL-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"D-Glucose",WQZGKKKJIJFFOK-GASJEMHNSA-N,1
Chemical Name,InChIKey,"L-Homoserine",UKAUYVFTDYCKQA-VKHMYHEASA-N,1
Chemical Name,InChIKey,"Octadecanoyl-ACP (n-C18:0ACP)",GFFGJBXGBJISGV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2(alpha-D-Mannosyl)-D-glycerate",DDXCFDOPXBPUJC-SAYMMRJXSA-N,1
Chemical Name,InChIKey,"Glycerophosphoserine",ZWZWYGMENQVNFU-AKGZTFGVSA-N,0
Chemical Name,InChIKey,"Acetaldehyde",IKHGUXGNUITLKF-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"UDP-N-acetylmuramate",NQBRVZNDBBMBLJ-MQTLHLSBSA-N,1
Chemical Name,InChIKey,"D-biotin d-sulfoxide",KCSKCIQYNAOBNQ-YBSFLMRUSA-N,1
Chemical Name,InChIKey,"Orotate C5H3N2O4",PXQPEWDEAKTCGB-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",BIABMEZBCHDPBV-MPQUPPDSSA-M,1
Chemical Name,InChIKey,"XTP",CAEFEWVYEZABLA-UUOKFMHZSA-N,1
Chemical Name,InChIKey,"Decanoate (n-C10:0)",GHVNFZFCNZKVNT-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"UDP-4-keto-pyranose",URJZIQLTPCJVMW-QNSCKLTRSA-L,0
Chemical Name,InChIKey,"D-Sorbitol 6-phosphate",GACTWZZMVMUKNG-SLPGGIOYSA-N,1
Chemical Name,InChIKey,"Phenylpyruvate",BTNMPGBKDVTSJY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2-Dehydro-3-deoxy-D-gluconate",WPAMZTWLKIDIOP-WVZVXSGGSA-N,1
Chemical Name,InChIKey,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",QNAYBMKLOCPYGJ-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Gamma-glutamyl-putrescine",WKGTVHGVLRCTCF-ZETCQYMHSA-N,1
Chemical Name,InChIKey,"Hepta-acylated core oligosaccharide lipid A (E. coli)",OIRDTQYFTABQOQ-KQYNXXCUSA-N,1
Chemical Name,InChIKey,"1-dodecanoyl-sn-glycerol 3-phosphate",STTKJLVEXMKLNA-CQSZACIVSA-L,1
Chemical Name,InChIKey,"Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)",OIFBSDVPJOWBCH-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",JFBCSFJKETUREV-LJAQVGFWSA-N,1
Chemical Name,InChIKey,"1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)",LUTDZDAPSDZVAL-RBUKOAKNSA-M,1
Chemical Name,InChIKey,"Cys Gly C5H10N2O3S",DHMQDGOQFOQNFH-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",SOLXJHKVRWSNJX-ZKIXVCMUSA-M,0
Chemical Name,InChIKey,"D-Tagaturonate",IZSRJDGCGRAUAR-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Cyclopropane phosphatidylglycerol (dioctadec-11,12-cyclo-anoyl, n-C18:0 cyclo)",ACOSNNHXZDLJJE-HBLNEQHKSA-M,1
Chemical Name,InChIKey,"ATP C10H12N5O13P3",GFFGJBXGBJISGV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Phosphonate",UEZVMMHDMIWARA-UHFFFAOYSA-M,0
Chemical Name,InChIKey,"Trans-Hexadec-2-enoyl-[acyl-carrier protein]",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"P1,P4-Bis(5'-guanosyl) tetraphosphate",OLGWXCQXRSSQPO-MHARETSRSA-N,1
Chemical Name,InChIKey,"Acetyl-CoA",ZSLZBFCDCINBPY-ZSJPKINUSA-N,1
Chemical Name,InChIKey,"Gamma-glutamyl-gamma aminobutyric acid",MKYPKZSGLSOGLL-LURJTMIESA-N,1
Chemical Name,InChIKey,"(R)-S-Lactoylglutathione",VDYDCVUWILIYQF-CSMHCCOUSA-N,1
Chemical Name,InChIKey,"Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA",OCKKDDJUVZAABC-XSAOWLIJSA-F,1
Chemical Name,InChIKey,"D-Glycero-D-manno-heptose 7-phosphate",SDADNVAZGVDAIM-NNPWBXLPSA-N,1
Chemical Name,InChIKey,"5,10-Methylenetetrahydrofolate",QYNUQALWYRSVHF-PZORYLMUSA-N,1
Chemical Name,InChIKey,"Inorganic triphosphate",UNXRWKVEANCORM-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"1-octadecanoyl-sn-glycerol 3-phosphate",LAYXSTYJRSVXIH-HXUWFJFHSA-L,1
Chemical Name,InChIKey,"L-Fuculose 1-phosphate",KNYGWWDTPGSEPD-LFRDXLMFSA-N,1
Chemical Name,InChIKey,"(S)-Dihydroorotate",UFIVEPVSAGBUSI-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Glycerol 2-phosphate",DHCLVCXQIBBOPH-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Glyoxylate",HHLFWLYXYJOTON-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"5,6-Dimethylbenzimidazole",LJUQGASMPRMWIW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"1,5-Diaminopentane",VHRGRCVQAFMJIZ-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"O-Phospho-L-serine",BZQFBWGGLXLEPQ-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Reduced FMN",YTNIXZGTHTVJBW-SCRDCRAPSA-N,1
Chemical Name,InChIKey,"Phenylacetaldehyde",DTUQWGWMVIHBKE-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)",DAUAQNGYDSHRET-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)",IZDRGPDUDLWAGR-MRXNPFEDSA-N,1
Chemical Name,InChIKey,"Allantoin",POJWUDADGALRAB-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Propanal",NBBJYMSMWIIQGU-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate",PSONHUYFSWYIME-JNYPHZTQSA-N,1
Chemical Name,InChIKey,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",GHQNERCMPIDAAU-WFDPYMBVSA-M,1
Chemical Name,InChIKey,"1,6-anhydrous-N-Acetylmuramyl-tripeptide",KGVLFEPQSVUIRC-FYQNUYSYSA-L,1
Chemical Name,InChIKey,"UDPgalactose",HSCJRCZFDFQWRP-ABVWGUQPSA-N,1
Chemical Name,InChIKey,"D-Ribose 1,5-bisphosphate",AAAFZMYJJHWUPN-SOOFDHNKSA-N,0
Chemical Name,InChIKey,"CO2 CO2",MUBZPKHOEPUJKR-UHFFFAOYSA-L,1
Chemical Name,InChIKey,"Menaquinone 8",MJVAVZPDRWSRRC-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"L-Leucine",ROHFNLRQFUQHCH-YFKPBYRVSA-N,1
Chemical Name,InChIKey,"1,4-Dihydroxy-2-naphthoate",VOJUXHHACRXLTD-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)",NPAZKTOOMVQLIH-MRXNPFEDSA-N,1
Chemical Name,InChIKey,"2-octadec-11-enoyl-sn-glycerol 3-phosphate",WRGQSWVCFNIUNZ-GDCKJWNLSA-N,1
Chemical Name,InChIKey,"CDP-1,2-didodecanoylglycerol",PTPPKXVNJJIECF-LSSKPTOFSA-N,0
Chemical Name,InChIKey,"Pyridoxamine",NHZMQXZHNVQTQA-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Urate C5H4N4O3",JVRRYLFUQDPMCA-UHFFFAOYSA-L,0
Chemical Name,InChIKey,"(R)-2,3-Dihydroxy-3-methylbutanoate",JTEYKUFKXGDTEU-VKHMYHEASA-N,1
Chemical Name,InChIKey,"UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine",ZFPNNOXCEDQJQS-SSVOXRMNSA-N,1
Chemical Name,InChIKey,"O-Succinylbenzoyl-CoA",KVAQAPQXOXTRAE-HSJNEKGZSA-N,1
Chemical Name,InChIKey,"Psicoselysine",BFSYFTQDGRDJNV-CDEVMZEPSA-N,0
Chemical Name,InChIKey,"L-Phenylalanine",COLNVLDHVKWLRT-QMMMGPOBSA-N,1
Chemical Name,InChIKey,"D-Xylose",SRBFZHDQGSBBOR-IOVATXLUSA-N,1
Chemical Name,InChIKey,"Propanoyl-CoA",QAQREVBBADEHPA-IEXPHMLFSA-N,1
Chemical Name,InChIKey,"(S)-3-Methyl-2-oxopentanoate",JVQYSWDUAOAHFM-BYPYZUCNSA-N,1
Chemical Name,InChIKey,"Cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol",RKDFGWAXBBGKMR-APPZFPTMSA-M,1
Chemical Name,InChIKey,"Maltotriose C18H32O16",FYGDTMLNYKFZSV-DZOUCCHMSA-N,1
Chemical Name,InChIKey,"Thymine C5H6N2O2",RWQNBRDOKXIBIV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Undecaprenyl diphosphate",NTXGVHCCXVHYCL-RDQGWRCRSA-N,1
Chemical Name,InChIKey,"Arsenite",OWTFKEBRIAXSMO-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Cardiolipin (tetrahexadecanoyl, n-C16:0)",GRTNLBQYBYZCCM-ULKDXPJMSA-L,1
Chemical Name,InChIKey,"DGDP C10H12N5O10P2",CIKGWCTVFSRMJU-KVQBGUIXSA-N,1
Chemical Name,InChIKey,"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate",LYCAIKOWRPUZTN-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)",DCXYFEDJOCDNAF-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Acyl phosphatidylglycerol (n-C14:0)",HLSZVIULNVUBQI-YWPUXERESA-M,1
Chemical Name,InChIKey,"2-Oxopent-4-enoate",NOXRYJAWRSNUJD-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"DADP C10H12N5O9P2",DAEAPNUQQAICNR-RRKCRQDMSA-N,1
Chemical Name,InChIKey,"4-Hydroxybenzoate",FJKROLUGYXJWQN-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"Galactitol",FBPFZTCFMRRESA-GUCUJZIJSA-N,1
Chemical Name,InChIKey,"Dephospho-CoA",KDTSHFARGAKYJN-IBOSZNHHSA-N,1
Chemical Name,InChIKey,"All-trans-Octaprenyl diphosphate",IKKLDISSULFFQO-DJMILUHSSA-N,1
Chemical Name,InChIKey,"Agmatine",QYPPJABKJHAVHS-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Nicotinamide adenine dinucleotide phosphate - reduced",ACFIXJIJDZMPPO-NCHANQSKSA-N,1
Chemical Name,InChIKey,"3-Deoxy-D-manno-2-octulosonate",KYQCXUMVJGMDNG-SHUUEZRQSA-N,1
Chemical Name,InChIKey,"4-Phospho-L-aspartate",IXZNKTPIYKDIGG-REOHCLBHSA-N,1
Chemical Name,InChIKey,"XDP",YMOPVQQBWLGDOD-UUOKFMHZSA-N,1
Chemical Name,InChIKey,"Urea CH4N2O",XSQUKJJJFZCRTK-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Geranyl diphosphate",GVVPGTZRZFNKDS-JXMROGBWSA-N,1
Chemical Name,InChIKey,"UMP C9H11N2O9P",DJJCXFVJDGTHFX-XVFCMESISA-N,1
Chemical Name,InChIKey,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",QNAYBMKLOCPYGJ-REOHCLBHSA-N,1
Chemical Name,InChIKey,"Trimethylamine N-oxide",UYPYRKYUKCHHIB-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2',3'-Cyclic AMP",KMYWVDDIPVNLME-KQYNXXCUSA-N,1
Chemical Name,InChIKey,"DTDP-L-rhamnose",ZOSQFDVXNQFKBY-CGAXJHMRSA-N,1
Chemical Name,InChIKey,"Ferrichrome",ZFDAUYPBCXMSBF-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Hexanoyl-CoA (n-C6:0CoA)",OEXFMSFODMQEPE-HDRQGHTBSA-N,1
Chemical Name,InChIKey,"Gamma-glutamyl-gamma-butyraldehyde",JZNLEPLZUABCSQ-ZETCQYMHSA-N,1
Chemical Name,InChIKey,"2,5-diketo-D-gluconate",RXMWXENJQAINCC-DMTCNVIQSA-M,1
Chemical Name,InChIKey,"2-octadecanoyl-sn-glycerol 3-phosphate",RPAOEHFOGLEBTJ-HXUWFJFHSA-L,1
Chemical Name,InChIKey,"But-2-enoyl-[acyl-carrier protein]",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Maltose 6'-phosphate",ITPHOIFCAFNCLL-ASMJPISFSA-N,1
Chemical Name,InChIKey,"2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate",AGQJQCFEPUVXNK-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"5-Amino-6-(5'-phosphoribitylamino)uracil",RQRINYISXYAZKL-RPDRRWSUSA-N,1
Chemical Name,InChIKey,"L-alanine-L-glutamate",VYZAGTDAHUIRQA-WHFBIAKZSA-M,1
Chemical Name,InChIKey,"S-Ribosyl-L-homocysteine",IQFWYNFDWRYSRA-OEQWSMLSSA-N,1
Chemical Name,InChIKey,"Propionate (n-C3:0)",DGQGOJSRNVNZMF-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Glycerol",PEDCQBHIVMGVHV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Ornithine",AHLPHDHHMVZTML-BYPYZUCNSA-N,1
Chemical Name,InChIKey,"Glucosyl-inner core oligosaccharide lipid A",OIRDTQYFTABQOQ-KQYNXXCUSA-N,1
Chemical Name,InChIKey,"O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate",WYHMIVUCEAXZMZ-LRILUZMESA-L,1
Chemical Name,InChIKey,"D-Malate",BJEPYKJPYRNKOW-UWTATZPHSA-N,1
Chemical Name,InChIKey,"Phosphatidylserine (dioctadec-11-enoyl, n-C18:1)",TZCPCKNHXULUIY-RGULYWFUSA-N,1
Chemical Name,InChIKey,"3-Carboxy-4-methyl-2-oxopentanoate",HIIZAGQWABAMRR-BYPYZUCNSA-N,1
Chemical Name,InChIKey,"2-C-methyl-D-erythritol 4-phosphate",XMWHRVNVKDKBRG-UHNVWZDZSA-N,1
Chemical Name,InChIKey,"1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate",QKMBYNRMPRKVTO-MNOVXSKESA-N,1
Chemical Name,InChIKey,"Two linked disacharide pentapeptide and tetrapeptide murein units (uncrosslinked, middle of chain)",FMGSKLZLMKYGDP-USOAJAOKSA-N,1
Chemical Name,InChIKey,"Cardiolipin (tetratetradecanoyl, n-C14:0)",SDCJNZZAOLRVCP-GTOSQJSUSA-L,0
Chemical Name,InChIKey,"L-Ribulose 5-phosphate",FNZLKVNUWIIPSJ-CRCLSJGQSA-N,1
Chemical Name,InChIKey,"DTDP-4-amino-4,6-dideoxy-D-galactose",UIVJXHWSIFBBCY-FQLHZTMTSA-N,1
Chemical Name,InChIKey,"4,5-dihydroxy-2,3-pentanedione",UYTRITJAZOPLCZ-BYPYZUCNSA-N,1
Chemical Name,InChIKey,"N2-Succinyl-L-glutamate 5-semialdehyde",XTOKIEIBKARFSZ-LURJTMIESA-N,1
Chemical Name,InChIKey,"Maltoheptaose",BNABBHGYYMZMOA-QJBBZCPBSA-N,1
Chemical Name,InChIKey,"3-Oxotetradecanoyl-CoA",IQNFBGHLIVBNOU-QSGBVPJFSA-N,1
Chemical Name,InChIKey,"Reduced glutathione",RWSXRVCMGQZWBV-WDSKDSINSA-N,1
Chemical Name,InChIKey,"1,6-anhydrous-N-Acetylmuramate",QGZKDVFQNNGYKY-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Fumarate",VZCYOOQTPOCHFL-OWOJBTEDSA-L,1
Chemical Name,InChIKey,"4-Amino-5-hydroxymethyl-2-methylpyrimidine",VUTBELPREDJDDH-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)",MEAZTWJVOWHKJM-CIAPRIGGSA-N,1
Chemical Name,InChIKey,"Deoxycytidine",CKTSBUTUHBMZGZ-SHYZEUOFSA-N,1
Chemical Name,InChIKey,"L-Methionine Sulfoxide",QEFRNWWLZKMPFJ-YGVKFDHGSA-N,1
Chemical Name,InChIKey,"UDP-N-acetyl-D-mannosamine",LFTYTUAZOPRMMI-ZYQOOJPVSA-N,1
Chemical Name,InChIKey,"Deoxyguanosine",YKBGVTZYEHREMT-KVQBGUIXSA-N,1
Chemical Name,InChIKey,"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",DGGUVLXVLHAAGT-XINAWCOVSA-N,1
Chemical Name,InChIKey,"2,3-Dihydrodipicolinate",UWOCFOFVIBZJGH-YFKPBYRVSA-N,1
Chemical Name,InChIKey,"5-Methylthioadenosine",WUUGFSXJNOTRMR-IOSLPCCCSA-N,1
Chemical Name,InChIKey,"Deoxyadenosine",OLXZPDWKRNYJJZ-RRKCRQDMSA-N,1
Chemical Name,InChIKey,"Adenine",GFFGJBXGBJISGV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Cold adapted KDO(2)-lipid (A)",YMYMIWUIGJUAIZ-IQVHTFGPSA-N,0
Chemical Name,InChIKey,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",SLKDGVPOSSLUAI-PGUFJCEWSA-N,1
Chemical Name,InChIKey,"Butanal C4H8O",ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2',3'-Cyclic UMP",HWDMHJDYMFRXOX-XVFCMESISA-N,1
Chemical Name,InChIKey,"5-Dehydro-D-gluconate",IZSRJDGCGRAUAR-MROZADKFSA-N,1
Chemical Name,InChIKey,"Undecaprenyl phosphate",UFPHFKCTOZIAFY-RDQGWRCRSA-N,1
Chemical Name,InChIKey,"L-Lactaldehyde",BSABBBMNWQWLLU-VKHMYHEASA-N,1
Chemical Name,InChIKey,"Cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol",AEUBLTTWYCDTGM-HXOXMVQHSA-N,1
Chemical Name,InChIKey,"UDP-N-acetyl-D-glucosamine",LFTYTUAZOPRMMI-CFRASDGPSA-N,1
Chemical Name,InChIKey,"Hydrogen",UFHFLCQGNIYNRP-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"Myo-Inositol",CDAISMWEOUEBRE-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"2-Oxobutanoate",TYEYBOSBBBHJIV-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"1,2-didodecanoyl-sn-glycerol 3-phosphate",NBIIXXVUZAFLBC-UHFFFAOYSA-K,1
Chemical Name,InChIKey,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",LYCAIKOWRPUZTN-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"L-Cystathionine",ILRYLPWNYFXEMH-WHFBIAKZSA-N,1
Chemical Name,InChIKey,"Diphosphate",XPPKVPWEQAFLFU-UHFFFAOYSA-J,1
Chemical Name,InChIKey,"D-Altronate",RGHNJXZEOKUKBD-AIHAYLRMSA-N,1
Chemical Name,InChIKey,"N2-Succinyl-L-glutamate",JCNBNOQGFSXOML-YFKPBYRVSA-N,1
Chemical Name,InChIKey,"5-Methylthio-5-deoxy-D-ribulose 1-phosphate",CNSJRYUMVMWNMC-RITPCOANSA-N,1
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)",YVYMBNSKXOXSKW-HXUWFJFHSA-N,1
Chemical Name,InChIKey,"1-deoxy-D-xylulose",IGUZJYCAXLYZEE-RFZPGFLSSA-N,1
Chemical Name,InChIKey,"Fe(III)dicitrate",BWHIDISYXGEZJU-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Glycolate C2H3O3",AEMRFAOFKBGASW-UHFFFAOYSA-M,1
Chemical Name,InChIKey,"D-Lactate",JVTAAEKCZFNVCJ-UWTATZPHSA-N,1
Chemical Name,InChIKey,"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)",BBYWOYAFBUOUFP-JOCHJYFZSA-N,1
Chemical Name,InChIKey,"N-Acetyl-L-glutamate 5-semialdehyde",BCPSFKBPHHBDAI-LURJTMIESA-N,1
Chemical Name,InChIKey,"D-Carnitine",PHIQHXFUZVPYII-LURJTMIESA-N,1
Chemical Name,InChIKey,"L-methionine-R-sulfoxide",QEFRNWWLZKMPFJ-ZXPFJRLXSA-N,1
Chemical Name,InChIKey,"Trans-Dodec-2-enoyl-[acyl-carrier protein]",YBBLVLTVTVSKRW-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"UDP-D-galacto-1,4-furanose",ZQLQOXLUCGXKHS-SIAUPFDVSA-N,1
Chemical Name,InChIKey,"Maltose C12H22O11",GUBGYTABKSRVRQ-QUYVBRFLSA-N,1
Chemical Name,InChIKey,"3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]",IMRWILPUOVGIMU-UHFFFAOYSA-N,0
Chemical Name,InChIKey,"Coprogen",FQIVLXIUJLOKPL-DWZMLRRXSA-N,0
Chemical Name,InChIKey,"Pyridoxamine 5'-phosphate",ZMJGSOSNSPKHNH-UHFFFAOYSA-N,1
Chemical Name,InChIKey,"2-dodecanoyl-sn-glycerol 3-phosphate",STTKJLVEXMKLNA-CQSZACIVSA-L,1
Chemical Name,InChIKey,"4-amino-4-deoxychorismate",OIUJHGOLFKDBSU-HTQZYQBOSA-N,1
Chemical Name,InChIKey,"Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)",CKLJMWTZIZZHCS-REOHCLBHSA-N,1
